cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size,n_dpus,dtype,n_tsklts
0.4041,0.2333,124.2582,778032.0,8,32,INT32,16
0.6729,0.3958,826.6927,4502340.0,8,32,INT64,16
0.5172,0.3212,1657.8793,8011520.0,8,32,FLOAT,16
0.7374,0.4305,5031.8343,24157400.0,8,32,DOUBLE,16
0.4537,0.2388,135.2011,694016.0,8,32,CHAR,16
0.4724,0.2495,140.301,768320.0,8,32,SHORT,16
